movie_id,title,movie_link,year,duration,genre,description,director,actors,rating
1959,Erin Brockovich,https://www.imdb.com/title/tt0195685/,2000,131,"Biography, Drama",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick",7.4
1960,High Fidelity,https://www.imdb.com/title/tt0146882/,2000,113,"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",Stephen Frears,"John Cusack, Iben Hjejle, Todd Louiso, Jack Black",7.5
1961,Bring It On,https://www.imdb.com/title/tt0204946/,2000,98,"Comedy, Romance, Sport",A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,Peyton Reed,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",6
1962,Gone In Sixty Seconds,https://www.imdb.com/title/tt0187078/,2000,118,"Action, Crime, Thriller",A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,Dominic Sena,"Nicolas Cage, Angelina Jolie, Giovanni Ribisi, T.J. Cross",6.5
1963,The Patriot,https://www.imdb.com/title/tt0187393/,2000,165,"Action, Drama, History",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",7.2
1964,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,2000,107,"Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Joel Coen, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman",7.7
1965,The Beach,https://www.imdb.com/title/tt0163978/,2000,119,"Adventure, Drama, Romance","On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise.",Danny Boyle,"Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen",6.7
1966,Road Trip,https://www.imdb.com/title/tt0215129/,2000,93,Comedy,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,Todd Phillips,"Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo",6.4
1967,Remember The Titans,https://www.imdb.com/title/tt0210945/,2000,113,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Boaz Yakin,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst",7.8
1968,Scary Movie,https://www.imdb.com/title/tt0175142/,2000,88,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra",6.2
1969,Unbreakable,https://www.imdb.com/title/tt0217869/,2000,106,"Drama, Mystery, Sci-Fi",A man learns something extraordinary about himself after a devastating accident.,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark",7.3
1970,Best In Show,https://www.imdb.com/title/tt0218839/,2000,90,Comedy,"A ""behind the scenes"" look into the highly competitive and cut-throat world of dog-shows through the eyes of a group of ruthless dog owners.",Christopher Guest,"Fred Willard, Eugene Levy, Catherine O'Hara, Jennifer Coolidge",7.5
1971,The Emperor'S New Groove,https://www.imdb.com/title/tt0120917/,2000,78,"Animation, Adventure, Comedy","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",7.4
1972,The Whole Nine Yards,https://www.imdb.com/title/tt0190138/,2000,98,"Comedy, Crime","A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",Jonathan Lynn,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan",6.7
1973,Coyote Ugly,https://www.imdb.com/title/tt0200550/,2000,100,"Comedy, Drama, Music","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",David McNally,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello",5.7
1974,Fa Yeung Nin Wah,https://www.imdb.com/title/tt0118694/,2000,98,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung",8.1
1975,Billy Elliot,https://www.imdb.com/title/tt0249462/,2000,110,"Drama, Music",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven",7.7
1976,Wo Hu Cang Long,https://www.imdb.com/title/tt0190332/,2000,120,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",7.8
1977,Traffic,https://www.imdb.com/title/tt0181865/,2000,147,"Crime, Drama, Thriller","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas",7.6
1978,Final Destination,https://www.imdb.com/title/tt0195714/,2000,98,"Horror, Thriller","Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane.",James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",6.7
1979,Mission: Impossible II,https://www.imdb.com/title/tt0120755/,2000,123,"Action, Adventure, Thriller","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames",6.1
1980,Bedazzled,https://www.imdb.com/title/tt0230030/,2000,93,"Comedy, Fantasy","Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",Harold Ramis,"Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor",6
1981,Charlie'S Angels,https://www.imdb.com/title/tt0160127/,2000,98,"Action, Adventure, Comedy","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray",5.5
1982,Battlefield Earth,https://www.imdb.com/title/tt0185183/,2000,118,"Action, Adventure, Sci-Fi","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper, Kim Coates",2.5
1983,Space Cowboys,https://www.imdb.com/title/tt0186566/,2000,130,"Action, Adventure, Thriller","When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",6.4
1984,Sexy Beast,https://www.imdb.com/title/tt0203119/,2000,89,"Crime, Drama, Thriller","Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",Jonathan Glazer,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman",7.3
1985,What Women Want,https://www.imdb.com/title/tt0207201/,2000,127,"Comedy, Fantasy, Romance","A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Nancy Meyers,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda",6.4
1986,Chocolat,https://www.imdb.com/title/tt0241303/,2000,121,"Drama, Romance",A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Carrie-Anne Moss",7.2
1987,Vertical Limit,https://www.imdb.com/title/tt0190865/,2000,124,"Action, Adventure, Drama","A climber must rescue his sister on top of K2, one of the world's biggest mountains.",Martin Campbell,"Scott Glenn, Chris O'Donnell, Bill Paxton, Robin Tunney",6
1988,Batoru Rowaiaru,https://www.imdb.com/title/tt0266308/,2000,114,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano",7.6
1989,Pitch Black,https://www.imdb.com/title/tt0134847/,2000,109,"Action, Horror, Sci-Fi","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",David Twohy,"Radha Mitchell, Cole Hauser, Vin Diesel, Keith David",7.1
1990,Miss Congeniality,https://www.imdb.com/title/tt0212346/,2000,109,"Action, Comedy, Crime",An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,Donald Petrie,"Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen",6.3
1991,Shanghai Noon,https://www.imdb.com/title/tt0184894/,2000,110,"Action, Adventure, Comedy","A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",Tom Dey,"Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill",6.6
1992,The Perfect Storm,https://www.imdb.com/title/tt0177971/,2000,130,"Action, Adventure, Drama",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Wolfgang Petersen,"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",6.4
1993,Amores Perros,https://www.imdb.com/title/tt0245712/,2000,154,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero",8.1
1994,The Cell,https://www.imdb.com/title/tt0209958/,2000,107,"Horror, Sci-Fi, Thriller","An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.",Tarsem Singh,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James",6.4
1995,Hollow Man,https://www.imdb.com/title/tt0164052/,2000,112,"Action, Horror, Sci-Fi","When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens",5.8
1996,Dinosaur,https://www.imdb.com/title/tt0130623/,2000,82,"Animation, Adventure, Family",An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,"Eric Leighton, Ralph Zondag","D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard",6.5
1997,The Gift,https://www.imdb.com/title/tt0219699/,2000,112,"Drama, Fantasy, Horror",A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.,Sam Raimi,"Cate Blanchett, Katie Holmes, Keanu Reeves, Giovanni Ribisi",6.6
1998,What Lies Beneath,https://www.imdb.com/title/tt0161081/,2000,130,"Drama, Horror, Mystery",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Katharine Towne, Miranda Otto",6.6
1999,How The Grinch Stole Christmas,https://www.imdb.com/title/tt0170016/,2000,104,"Comedy, Family, Fantasy","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",6.2
2000,"Dude, Where'S My Car?",https://www.imdb.com/title/tt0242423/,2000,83,"Comedy, Mystery, Sci-Fi",Two potheads wake up after a night of partying and cannot remember where they parked their car.,Danny Leiner,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff",5.5
2001,"Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,2000,116,Comedy,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,"Bobby Farrelly, Peter Farrelly","Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee",6.6
